fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:18.736303,Processo fora da whitelist morto: comppkgsrv
1,1,1,2025-11-17 19:28:18.739059,Processo fora da whitelist morto: shellexperiencehost
1,1,1,2025-11-17 19:28:18.741960,Processo fora da whitelist morto: aackingstondramhal_x64
1,1,1,2025-11-17 19:28:18.744895,Processo fora da whitelist morto: nissrv
1,1,1,2025-11-17 19:28:18.747936,Processo fora da whitelist morto: gamingservicesnet
1,1,1,2025-11-17 19:28:18.750948,Processo fora da whitelist morto: adobecollabsync
1,1,1,2025-11-17 19:28:18.753969,Processo fora da whitelist morto: adobecollabsync
1,1,1,2025-11-17 19:28:18.756779,Processo fora da whitelist morto: sihost
1,1,1,2025-11-17 19:28:18.759847,Processo fora da whitelist morto: applicationframehost
1,1,1,2025-11-17 19:28:18.762809,Processo fora da whitelist morto: startmenuexperiencehost
1,1,1,2025-11-17 19:28:18.765772,Processo fora da whitelist morto: atieclxx
1,1,1,2025-11-17 19:28:18.768752,Processo fora da whitelist morto: spacedeskservicetray
1,1,1,2025-11-17 19:28:18.771759,Processo fora da whitelist morto: wmiapsrv
1,1,1,2025-11-17 19:28:18.775049,Processo fora da whitelist morto: jusched
1,1,1,2025-11-17 19:28:18.778083,Processo fora da whitelist morto: useroobebroker
1,1,1,2025-11-17 19:28:18.781303,Processo fora da whitelist morto: systemsettings
1,1,1,2025-11-17 19:28:18.784350,Processo fora da whitelist morto: acrobatnotificationclient
1,1,1,2025-11-17 19:28:18.787553,Processo fora da whitelist morto: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7
1,1,1,2025-11-17 19:28:18.789052,Erro ao registrar codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7 no log_processos: 1406 (22001): Data too long for column 'nome' at row 1
1,1,1,2025-11-17 19:28:18.790149,Processo fora da whitelist morto: codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp
1,1,1,2025-11-17 19:28:18.791481,Erro ao registrar codesetup-stable-cb1933bbc38d329b3595673a600fab5c7368f0a7.tmp no log_processos: 1406 (22001): Data too long for column 'nome' at row 1
1,1,1,2025-11-17 19:28:18.796519,Processo fora da whitelist detectado: system idle process
1,1,1,2025-11-17 19:28:18.797794,Processo fora da whitelist detectado: registry
1,1,1,2025-11-17 19:28:18.798922,Processo fora da whitelist detectado: spotify
1,1,1,2025-11-17 19:28:18.799988,Processo fora da whitelist detectado: lsass
